School
City and State
Region
Conference
Division
Abilene Christian University
"Abilene, TEXAS"
Mid South
Southland Conference  
NCAA I-AA  
Alabama A&M University
"Normal, ALABAMA"
South East
Southwestern Athletic Conference  
NCAA I-AA  
Alabama State University
"Montgomery, ALABAMA"
South East
Southwestern Athletic Conference  
NCAA I-AA  
Alcorn State University
"Alcorn State, MISSISSIPPI"
Mid South
Southwestern Athletic Conference  
NCAA I-AA  
Appalachian State University
"Boone, NORTH CAROLINA"
Mid East
Sun Belt Conference  
NCAA I-A  
Arizona State University
"Tempe, ARIZONA"
South West
Pacific-12 Conference  
NCAA I-A  
Arkansas State University
"Jonesboro, ARKANSAS"
Mid South
Sun Belt Conference  
NCAA I-A  
Auburn University
"Auburn, ALABAMA"
South East
Southeastern Conference  
NCAA I-A  
Austin Peay State University
"Clarksville, TENNESSEE"
Mid East
Ohio Valley Conference  
NCAA I-AA  
Ball State University
"Muncie, INDIANA"
Great Lakes
Mid-American Conference  
NCAA I-A  
Baylor University
"Waco, TEXAS"
Mid South
Big 12 Conference  
NCAA I-A  
Bethune-Cookman University
"Daytona Beach, FLORIDA"
South East
Mid-Eastern Athletic Conference  
NCAA I-AA  
Boise State University
"Boise, IDAHO"
North West
Mountain West Conference  
NCAA I-A  
Boston College
"Chestnut Hill, MASSACHUSETTS"
New England
Atlantic Coast Conference  
NCAA I-A  
Bowling Green State University
"Bowling Green, OHIO"
Great Lakes
Mid-American Conference  
NCAA I-A  
Brigham Young University
"Provo, UTAH"
South West
Other  
NCAA I-A  
Brown University
"Providence, RHODE ISLAND"
New England
Ivy League  
NCAA I-AA  
Bryant University
"Smithfield, RHODE ISLAND"
New England
Northeast Conference  
NCAA I-AA  
Bucknell University
"Lewisburg, PENNSYLVANIA"
North East
Patriot League  
NCAA I-AA  
Butler University
"Indianapolis, INDIANA"
Great Lakes
Big East Conference  
NCAA I-AA  
California Polytechnic State University - San Luis Obispo
"San Luis Obispo, CALIFORNIA"
West Coast
Big Sky Conference  
NCAA I-AA  
California State University - Fresno
"Fresno, CALIFORNIA"
West Coast
Mountain West Conference  
NCAA I-A  
California State University - Sacramento
"Sacramento, CALIFORNIA"
West Coast
Big Sky Conference  
NCAA I-AA  
Campbell University
